id,title,artist,composer,lyricist,arranger,producer,year,bpm
VbnT9xf4PgTH4iS7gnEJ,"終點的擁抱","Dear Jane","","","","",,
VtIL1OZQQZh3HNcjF7C0,"赤城千葉","Unknown","","","","",,
Wsi7mCPXZAKKxpIzfdbS,"大丈夫","Supper Moment","","","","",,
XiqzYSnECmDrrnsDpzfW,"用背脊唱情歌","gareth.t","","","","",,
YFLB2o7hiaSBI5px4Hud,"磚頭","陳柏宇","","","","",,
YtPrC5IPx3IgzQlL4y1Q,"Daniela Andrade Have Yourself a Merry Little Christmas [Guitar Tab]","Unknown","","","","",,
ZHFM3iBE2WpD3a5OMv43,"最愛演唱會","陳慧琳","","","","",,
ZUgKc6y0shZHWUZLrCsi,"造王","胡鴻鈞","","","","",,
Zaji9OKWRooCzRsalTQe,"記憶棉","MC 張天賦","","","","",,
a5K4hFnIj5yiV1vyUPV8,"勇気100％","忍者亂太郎","","","","",,
aAULSvDXN4OA6mtzjhRf,"徐佳瑩 圓舞曲","Unknown","","","","",,
aNGy4thNIsFW8tt1Nc8i,"留香瓊","Unknown","","","","",,
aPbmEMPTqgDwGoAcSY5j,"失魂記","李克勤","","","","",,
b290mX2tk9FBBS25HzGl,"飛滋之歌","謝芊彤 謝芊蕾","","","","",,
bUZjUs9NOs1wBBnnsyRg,"Mirror 12","Unknown","","","","",,
bvXoYrEJmrnZdSMDcXhO,"歌唱老師 簡介","Unknown","","","","",,
c1hMb38bCsjwsPxtF41t,"缺","張敬軒","","","","",,
cGguSJdjlrZmtuorMybG,"A Star Is Born Shallow","Unknown","","","","",,
cSuzQ4TCLZYug9X9pkTl,"拼命無恙","林家謙","","","","",,
dZGeunYujcrbU5lNBqF6,"Nicholas Tse《逆行》","謝霆鋒","","","","",,
eRd7zhH3PdWAQVLa9fu1,"Lil' Ashes小塵埃/卜卜卜 chord","Unknown","","","","",,
et2MmC6b0kG1amnnK8oJ,"念親恩","陳百強","","","","",,
gHLJqKNzknTA0LtlWfJV,"用品租借服務","Busking","","","","",,
ge1Q70Q0X12eJCErm9E9,"陀飛輪 - 突破音域","[Karson X Kermit] 流行曲歌唱技巧","","","","",,
gfmk5pGy6wa1kZrFoYOd,"大丈夫","Supper Moment","","","","",,
h1oDpLwi44PigpRAHxxS,"微加幸福","郁可唯","","","","",,
hZyxfjLrxRBiDMAaNoZb,"心債","梅艷芳","","","","",,
iCJj3XBLKTs9KZjcLq2o,"四季 JIMMY VERSION","陳奕迅","","","","",,
jQyNG2ZqYzasz6ynoPBR,"小肥 冒雨","Unknown","","","","",,
jXQMBHYLEacXlGlLX90A,"THE SOUND OF MUSIC Edelweiss [Chord Tab]","Unknown","","","","",,
joZwg12N0Hu8naEN4sAi,"星河傳說","關正傑","","","","",,
lcZ97rX3xjaVTLazPrIM,"退燒","王傑","","","","",,
lwXTyU3vTNlMicBGI17V,"恭祝你福壽與天齊","Unknown","","","","",,
mBEiddaDVdtVPvDqeJnh,"(香港足球打氣歌) melody","We are the Hong Kong Boys","","","","",,
mCyeXo6n9cOWlB9ty3nu,"布志綸 人在野","Unknown","","","","",,
n89xnvvkeAWc3TtlBeUU,"密封罩 - Endy Chow jaugwokyin THE CURTAIN CALL 2023","MK三部曲 周國賢 Endy Chow","","","","",,
o61hY5Iwhetsf9nmjGnD,"在沒有你以後","謝和弦","","","","",,
oeTu7pZ88lSrWpyI4Pxy,"1994 (feat. 周殷廷)","TYSON YOSHI","","","","",,
p0GxsGLZ0lFe98WzJOuT,"歲月靜好","張敬軒","","","","",,
q2ff5IzriSNZ7AF2Yqqz,"Change For Chance","曹震豪","","","","",,
qpJIT4WRUF9wYu3eLx94,"Whitney Houston When You Believe [Guitar Tab]","Unknown","","","","",,
rX3lMjuvxuNhte3cfjjt,"陳齊頌 情花開","Unknown","","","","",,
s5CZZQWPMPApEcIERK8Z,"天才兒童1985","張敬軒","","","","",,
s7zT33c3Ov26xg9vAtVu,"一樣的月光","徐佳瑩","","","","",,
tRuCNuXxxzp3vjKfGEj2,"猜情尋","陳奕迅","","","","",,
tWXua94OhEH7Q3D6e4jQ,"傅穎 親朋密友","鄧麗欣","","","","",,
u9wyOTja9kS1ABzMbDSW,"薛之謙  剛剛好","Unknown","","","","",,
uPoydbj0Fifqb4vLdzMy,"鄭融 結他chord譜","終身學習","","","","",,
uQB3noWmDnGulgXDqgg9,"無盡","SUPPER MOMENT","","","","",,
uUGbJAxLnth2eJ9gpGg7,"愛後餘生","謝霆鋒","","","","",,
vdZ0wdTk4IgSvIAYm57E,"逸後","陳柏宇 Jason Chan","","","","",,
vwHQDFftnpVYSWDZYnbV,"最佳位置","陳慧琳","","","","",,
w3XQ7BNIvnp0vqL6R4cW,"陳慧琳 希望","Unknown","","","","",,
w59UIc0KKfGYY7jbqLet,"當我迷失時聽著的歌","陳蕾","","","","",,
wgWDmgmhuDTfFL9wKvGK,"林俊傑 曹操","Unknown","","","","",,
wktfbosbG4U85UxMasoV,"不可告人","王浩信","","","","",,
xDqYO0nhQRKLE433os9G,"徐天佑@Shine 茶餐廳","Unknown","","","","",,
xUQ8uR51KfhelqUpqxne,"太陽星辰","張學友","","","","",,
xZvBnjEisNNOUukJ8ZW5,"一萬年","陳曉東","","","","",,
xdVXVXZCrvIrdpSiXh2z,"許志安 梁漢文 郭富城 火熱動感La La La","鄭秀文","","","","",,
xzKHGK4hvzDE8muZf2in,"蘇俏慧","Unknown","","","","",,
y4sYuty1UGAjUDBfVEQm,"愛與痛的邊緣","譚詠麟","","","","",,
